"v","pipeline","nMax","survivingDigits","baseCoord","peakX","baselineCurrent","Delta_Baseline","peakY","troughVal","FWHM","curvature","Invariant_Q","CosineMean","Cos99"
740,"g0",2000,30,9.8033087435942773282e214,9.8033087435942773282e214,1.0464362399360755552,0.0061636077052644404027,1.1038799369685164,1.0371603916006858446,0.0019010210775420886,-91230.65649301762,0.18892133783007972,0.99996974384087526115,20
760,"g0",2000,25,7.1108363637387568439e219,7.1108363637387568439e219,1.091265403123044973,0.0043595433178174003257,1.0916296093242177,1.0916244328988417885,0,-23073.450054878384,0.500277731858883,0.99994988938257203985,20
220,"g0",5000,184,2.1794088308290174199e60,2.1794088308290174199e60,0.96031267782703175571,-0.0011162215786263861839,0.9714569932638292,0.95711937208298798604,0.0006477346922152173,-154410.62382734448,0.22848655418452296,0.45878214832535712164,1
240,"g0",5000,178,1.9502106225571139198e66,1.9502106225571139198e66,0.9909671114758345949,0.001048047526269118963,0.9996167166920935,0.99630599767711795228,0.000395171347470886,-98640.60728326094,0.1636430822849318,0.40754493378302167959,1
260,"y0",5000,171,2.6127927896501898913e73,2.6127927896501898913e73,0.5140745720779289727,-0.0097930101765477474513,0.6915627363487147,0.68487535013409768214,0.0005389377915807625,-96280.68431030803,0.17905886714012456,-0.087451418256841033583,3
280,"g0",5000,167,5.3401290757798246254e77,5.3401290757798246254e77,1.0079155119943979283,0.00063601664846759969015,1.017117955707091,0.99403251388054733,0.0008046173051212433,-168841.67451627456,0.1913980743175653,0.60934675676861195973,4
300,"y0",5000,159,4.8522027967075431364e85,4.8522027967075431364e85,0.57898020036960040382,-0.00872823330222149771,0.6678829967859201,0.64411563010432820323,0.0009661984715472194,-116698.39359904795,0.2910075125596861,-0.26752921301652832697,3
320,"g0",5000,155,1.9596405166827013894e89,1.9596405166827013894e89,1.0896749477396553044,0.0032880920820274611269,1.097658117380513,1.0537734092604696973,0.0008626595524543563,-287551.5037453045,0.11258891370164097,0.87005589336044078587,2
340,"y0",5000,147,2.43023530462065739e97,2.43023530462065739e97,0.56822055446166842352,-0.0030120474895746470071,0.6976923125330359,0.64482238176658050968,0.0014981049794304813,-186183.49678941333,0.07475635435043633,-0.32444823074748640741,3
340,"g0",5000,149,5.4656145535155508958e95,5.4656145535155508958e95,1.0814198717838090163,0.003456290254337232712,1.0864509726172074,1.071983677168505046,0.0006547439358044585,-145157.542682608,0.19245698885990922,0.88600782229158909089,2
360,"y0",5000,142,1.1379309329848881238e103,1.1379309329848881238e103,0.60347128719987255718,-0.0028045501547588976337,0.708109382801922,0.6565457698755255989,0.0014024198842206292,-160028.88231989075,0.12866310866576805,-0.38185523203208048327,5
360,"g0",5000,143,6.2217616942651495304e101,6.2217616942651495304e101,1.0631666867488695502,0.0012337899466693547331,1.0634165381488598,1.0206837461141007408,0.0011773267730430814,-198086.67701921298,0.2377026844445021,0.86717021844206466203,2
380,"y0",5000,136,9.7097219046830251564e108,9.7097219046830251564e108,0.63823791263781747841,0.0070041335345933899669,0.7468643759493716,0.70346720534330786901,0.002020209048112731,-79155.55516209839,0.09088260559111963,-0.31974126611630449187,1
400,"y0",5000,129,2.5131879099337254117e115,2.5131879099337254117e115,0.58931335737560999626,-0.0019924608851615804897,0.7061001335969195,0.68182174874178102651,0.0006573922583466008,-256007.833782858,0.16286355534559782,-0.35310160508280322248,4
440,"y0",5000,118,9.1048462185713087333e126,9.1048462185713087333e126,0.57615965305522888771,0.0024228341354483396871,0.7584808664396405,0.72918721263331795216,0.0008115695360146891,-208118.47867070194,0.14705374395080517,-0.29199900015051929072,2
460,"y0",5000,112,3.2269032487604448138e132,3.2269032487604448138e132,0.57316698636891680398,0.001400643801164228828,0.6998269687173888,0.68297731046746447767,0.0008491455670747161,-111350.79386868226,0.18116592142652774,-0.33781933332584910681,2
480,"g0",5000,107,3.8216647451258340014e137,3.8216647451258340014e137,1.036848393220711679,-0.0037568364612200421123,1.0872745236750379,1.0338371981378314618,0.0011557354693174568,-206475.0262473618,0.16044952844139235,0.99502084165786222514,17
500,"g0",5000,102,7.08030481146474976e142,7.08030481146474976e142,1.0859583159598747259,0.0015149112745131300522,1.1108413025283428,1.0853891504438762671,0.0015039762723945815,-120208.94309690851,0.3524887379860445,0.99756953269020118293,19
520,"g0",5000,96,1.1392690426332763335e149,1.1392690426332763335e149,1.0356919866882731061,0.0031619965009948177389,1.0554390397268543,1.0356579543559924272,0.0008431646568473729,-132159.24517858148,0.2670295502915461,0.99705651646316321036,19
580,"g0",5000,78,8.3694971046527653545e166,8.3694971046527653545e166,1.0782496866291758687,-0.0042747436273001127642,1.0818407710196825,1.0537330123487732747,0.001007679450506837,-126703.43118140394,0.19664446052628765,0.9989277557376977393,20
600,"y0",5000,71,1.0624841350649018815e174,1.0624841350649018815e174,0.61047272939822929546,0.0037100161407403341559,0.7186639684077818,0.6768478681763954182,0.0014998229941354246,-135782.04222124157,0.2781099972104473,-0.33398802409428041061,4
620,"g0",5000,66,6.9257977473424946435e178,6.9257977473424946435e178,1.0780004124270434543,0.0022594347168221310689,1.0909354588640696,1.074498351011002209,0.0006037755861741453,-204654.89180163018,0.18275845222778322,0.99960625256591483218,20
640,"y0",5000,59,7.4815040259844364057e185,7.4815040259844364057e185,0.59141687948107302471,0.0029157861277474059712,0.7364232207473833,0.70259569474701147459,0.0010134995456454465,-157697.48808864682,0.19384884856033044,-0.33830143977016109885,5
640,"g0",5000,60,8.3566206024602586978e184,8.3566206024602586978e184,1.0832754134893628211,-0.0040395731629074242607,1.0848299651093494,1.0708450641522805363,0.0006719793675779527,-151994.7673272193,0.12638645799251522,0.9998692625538979805,20
660,"y0",5000,52,2.6612947740246524226e192,2.6612947740246524226e192,0.56432649634427506747,0.011252023412511885264,0.6927610654383898,0.68819246377347151509,0.0004825720636907338,-82561.5014478174,0.21904697204097842,-0.33802460596796842418,5
660,"g0",5000,54,2.5593227540291390575e190,2.5593227540291390575e190,1.0814215430857535251,-0.0046460047649117888945,1.090499793181011,1.0784980138159616671,0.0005176942385684215,-177486.78117186142,0.2339727386557814,0.99992213475977056095,20
